Timestamp,Score,เพศ,อายุ  ,ท่านกำลังศึกษาอยู่ในระดับ,จังหวัดที่ท่านกำลังอาศัยอยู่ในปัจจุบัน,ปกติท่านเล่นมือถือ / คอมพิวเตอร์ เฉลี่ยต่อวันเท่าไร,ท่านดู Youtube เฉลี่ยต่อวันเท่าไร,ท่านชอบคอนเทนต์แนวไหนมากที่สุด,ท่านเคยรับชมคอนเทนต์ที่มีสปอนเซอร์ หรือ รับชม Ads แล้วไปซื้อหรือไม่,ท่านสมัครสมาชิก Youtube Premium หรือไม่,ท่านชอบดู Youtube Shorts หรือไม่,ท่านมีความคิดเห็นกับการการยิง Ads ของ Youtube,ท่านมีความพึงพอใจต่อการดู Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการดู Youtube Shorts มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการใช้งาน Youtube Premium มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการรับชมคอนเทนต์ใน Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อกับสิ่งที่ได้รับจากแอพพลิเคชัน Youtube ในภาพรวม มากน้อยเพียงใด
8/24/2023 21:25:06,0,ชาย,10 - 20 ปี,ต่ำกว่าปริญญาตรี,เชียงใหม่,9 - 12 ชั่วโมง,3 - 6 ชั่วโมง,เกม,เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,3,4,4,4
8/24/2023 21:34:06,0,ชาย,10 - 20 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกมและเพลง,เคย,สมัคร,ชอบดู,เหมาะสม,5,4,5,4,5
8/25/2023 5:46:13,0,ชาย,20 - 30 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,2,0,1,2
8/25/2023 6:44:53,0,ชาย,41 - 50 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,น้อยกว่า 3 ชั่วโมง,6 - 9 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,4,4,4,4,4
8/25/2023 6:45:41,0,ชาย,31 - 40 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,2,0,1,1
8/25/2023 7:46:44,0,ชาย,31 - 40 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,ไม่สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,2,1,0,1,1
8/25/2023 7:47:12,0,หญิง,20 - 30 ปี,ปริญญาตรี,กรุงเทพมหานคร,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,1,0,1,1
8/25/2023 8:22:16,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,2,0,2,1
8/25/2023 8:24:05,0,หญิง,10 - 20 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,น้อยกว่า 3 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ASMR,เคย,สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,3,4,5,3,4
8/25/2023 8:47:45,0,ชาย,20 - 30 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกมโชว์,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,1,1,0,2,1
8/25/2023 8:48:23,0,หญิง,20 - 30 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,เคย,ไม่สมัคร,ชอบดู,เหมาะสม,1,2,0,2,2
8/25/2023 9:46:49,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,3,0,2,2
8/25/2023 10:11:53,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,2,0,3,4
8/25/2023 11:57:17,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,1,0,1,1
8/25/2023 11:57:47,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,1,0,1,2
8/25/2023 11:59:11,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,3,0,3,4
8/25/2023 12:35:21,0,หญิง,31 - 40 ปี,ต่ำกว่าปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,Vlog,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,4,4,4,4,4
8/25/2023 12:36:01,0,หญิง,41 - 50 ปี,สูงกว่าปริญญาตรี,กรุงเทพมหานคร,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,บอร์ดเกม,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,5,5,5,5,5
8/25/2023 12:36:47,0,หญิง,20 - 30 ปี,ปริญญาตรี,อุดรธานี,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,เพลง,เคย,สมัคร,ชอบดู,เหมาะสม,4,4,3,5,5
8/25/2023 13:24:47,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,น้อยกว่า 3 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,เหมาะสม,3,4,5,3,4
8/25/2023 14:13:05,0,หญิง,10 - 20 ปี,ปริญญาตรี,นครราชสีมา,3 - 6 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,3,1,4,4
8/25/2023 14:33:01,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,เกม,ไม่เคย,สมัคร,ชอบดู,เหมาะสม,5,5,5,5,4
8/25/2023 14:34:29,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,มากกว่า 12 ชั่วโมง,มากกว่า 12 ชั่วโมง,เกม,ไม่เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,5,5,5,4,3
8/25/2023 15:37:35,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,Vlog,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,3,3,3,4,4
8/25/2023 15:38:02,0,ชาย,41 - 50 ปี,ปริญญาตรี,ตราด,3 - 6 ชั่วโมง,6 - 9 ชั่วโมง,เกมโชว์,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,4,4,4,3,4
8/25/2023 15:38:28,0,หญิง,31 - 40 ปี,ปริญญาตรี,ชลบุรี,9 - 12 ชั่วโมง,มากกว่า 12 ชั่วโมง,เกมโชว์,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,4,4,4,4,4
8/25/2023 16:38:54,0,หญิง,20 - 30 ปี,ปริญญาตรี,กรุงเทพมหานคร,น้อยกว่า 3 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ทานอาหาร / ทำอาหาร,เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,4,3,4,3
8/25/2023 16:39:26,0,หญิง,31 - 40 ปี,ต่ำกว่าปริญญาตรี,นครนายก,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,3,4,3,4,3
8/25/2023 17:25:31,0,ชาย,31 - 40 ปี,ปริญญาตรี,อุดรธานี,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,Vlog,เคย,สมัคร,ชอบดู,Ads มีความถี่เกินไป,3,4,5,3,4
8/25/2023 17:31:12,0,ชาย,50 ปีขึ้นไป,ต่ำกว่าปริญญาตรี,ขอนแก่น,น้อยกว่า 3 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,กีฬา,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,4,5,5,4
8/25/2023 17:31:43,0,ชาย,31 - 40 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,บอร์ดเกม,ไม่เคย,สมัคร,ชอบดู,เหมาะสม,4,4,4,4,4
8/25/2023 17:39:55,0,หญิง,20 - 30 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,เคย,สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,4,4,4,4,4
8/25/2023 17:41:48,0,หญิง,31 - 40 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เกม,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,4,4,4,4,4
8/25/2023 17:44:04,0,ชาย,50 ปีขึ้นไป,ต่ำกว่าปริญญาตรี,หนองคาย,น้อยกว่า 3 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,4,5,5,3,3
8/25/2023 18:26:31,0,หญิง,41 - 50 ปี,สูงกว่าปริญญาตรี,กรุงเทพมหานคร,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,สัตว์เลี้ยง,ไม่เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,4,4,4,5,4
8/25/2023 19:27:39,0,ชาย,50 ปีขึ้นไป,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,เล่าเรื่องผี,เคย,สมัคร,ไม่ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,5,5,5,4,3
8/25/2023 19:28:26,0,ชาย,10 - 20 ปี,ต่ำกว่าปริญญาตรี,ขอนแก่น,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,เกม,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,5,5,5,5,5
8/25/2023 20:29:03,0,หญิง,20 - 30 ปี,ปริญญาตรี,สุรินทร์,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,Vlog,เคย,สมัคร,ชอบดู,เหมาะสม,5,5,5,5,5
8/25/2023 20:29:39,0,หญิง,31 - 40 ปี,ปริญญาตรี,กรุงเทพมหานคร,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,4,3,4,5,3
8/25/2023 20:30:42,0,ชาย,41 - 50 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,น้อยกว่า 3 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เพลง,ไม่เคย,สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,3,3,3,3
8/25/2023 21:09:46,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกม,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,2,0,2,2
8/25/2023 21:32:27,0,ชาย,41 - 50 ปี,สูงกว่าปริญญาตรี,กรุงเทพมหานคร,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,ทานอาหาร / ทำอาหาร,เคย,สมัคร,ไม่ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,3,3,3,4,4
8/26/2023 6:05:45,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,บอร์ดเกม,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,2,2,0,2,2
8/26/2023 6:16:22,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,2,2,0,2,2
8/26/2023 6:21:53,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกม,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,2,2,0,2,2
8/26/2023 6:37:19,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,Vlog,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,4,0,4,4
8/26/2023 6:57:45,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,Vlog,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,4,0,3,3
8/26/2023 8:08:10,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกมโชว์,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,3,0,3,3
8/26/2023 8:26:36,0,ชาย,31 - 40 ปี,ปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกม,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,3,0,4,4
8/26/2023 8:59:09,0,หญิง,20 - 30 ปี,ปริญญาตรี,อุดรธานี,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,ท่องเที่ยว,ไม่เคย,สมัคร,ชอบดู,เหมาะสม,3,4,4,3,3
8/26/2023 9:29:40,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,บอร์ดเกม,ไม่เคย,สมัคร,ชอบดู,Ads มีความถี่เกินไป,3,3,4,3,4
8/26/2023 9:35:14,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,ท่องเที่ยว,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,3,0,3,3
8/26/2023 10:20:23,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,2,0,3,3
8/26/2023 10:43:55,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกมโชว์,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,2,0,3,4
8/26/2023 10:51:29,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,2,0,4,4
8/26/2023 11:02:01,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,สมัคร,ชอบดู,เหมาะสม,3,2,5,5,3
8/26/2023 11:10:45,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,3,0,3,4
8/26/2023 12:11:49,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,2,0,3,4
8/26/2023 12:12:19,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,มากกว่า 12 ชั่วโมง,มากกว่า 12 ชั่วโมง,ท่องเที่ยว,ไม่เคย,สมัคร,ชอบดู,เหมาะสม,5,5,5,5,5
